Product_id,SupplierID,Category,SubCategory,Brand,Product_Name,SellingPrice,CostPrice,Profit,LaunchDate,IsActive
P00001,SUP0062,Electronics,Laptops,Acer,Acer Laptops Premium,139629,117378.28,22250.72,2019-12-18,Yes
P00002,SUP0045,Fashion,Women's Wear,Global Desi,Global Desi Women's Wear Elite,14690,9099.35,5590.65,2024-05-14,Yes
P00003,SUP0011,Grocery,Rice,Fortune,Fortune Rice Elite,1305,1114.89,190.11,2020-11-03,Yes
P00004,SUP0051,Grocery,Beverages,Coca-Cola,Coca-Cola Beverages Pro,1920,1718.18,201.82,2021-08-22,Yes
P00005,SUP0047,Electronics,Televisions,Samsung,Samsung Televisions Elite,114159,92735.67,21423.33,2020-11-03,Yes
P00006,SUP0032,Electronics,Smartphones,OnePlus,OnePlus Smartphones Premium,45375,37039.44,8335.56,2023-08-12,Yes
P00007,SUP0022,Fashion,Footwear,Skechers,Skechers Footwear Pro,9144,6294.41,2849.59,2025-01-16,Yes
P00008,SUP0007,Grocery,Rice,Fortune,Fortune Rice Premium,1924,1785.42,138.58,2024-06-04,Yes
P00009,SUP0057,Fashion,Men's Wear,Levi's,Levi's Men's Wear Elite,5489,2238.11,3250.89,2022-10-15,Yes
P00010,SUP0079,Grocery,Beverages,Coca-Cola,Coca-Cola Beverages Max,171,157.79,13.21,2025-09-08,Yes
P00011,SUP0007,Grocery,Beverages,Fanta,Fanta Beverages Standard,1429,1332.46,96.54,2019-11-16,Yes
P00012,SUP0041,Fashion,Footwear,Nike,Nike Footwear Standard,12019,6412.15,5606.85,2023-11-11,Yes
P00013,SUP0058,Fashion,Women's Wear,Global Desi,Global Desi Women's Wear Pro,14019,5679.59,8339.41,2025-04-15,Yes
P00014,SUP0029,Electronics,Smartphones,OnePlus,OnePlus Smartphones Pro,65737,52929.08,12807.92,2024-10-21,Yes
P00015,SUP0016,Fashion,Footwear,Skechers,Skechers Footwear Premium,1853,1256.61,596.39,2019-06-06,Yes
P00016,SUP0036,Grocery,Rice,Fortune,Fortune Rice Pro,108,98.11,9.89,2023-08-25,Yes
P00017,SUP0016,Fashion,Women's Wear,Zara,Zara Women's Wear Plus,4029,2743.76,1285.24,2024-08-02,Yes
P00018,SUP0039,Fashion,Footwear,Puma,Puma Footwear Standard,10124,4714.93,5409.07,2021-12-17,Yes
P00019,SUP0044,Grocery,Rice,India Gate,India Gate Rice Max,631,583.79,47.21,2022-03-05,Yes
P00020,SUP0037,Fashion,Men's Wear,Levi's,Levi's Men's Wear Plus,8244,3382.18,4861.82,2024-03-26,Yes
P00021,SUP0020,Electronics,Laptops,Asus,Asus Laptops Max,162671,139727.8,22943.2,2026-03-27,Yes
P00022,SUP0080,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Plus,1264,1162.69,101.31,2024-06-19,Yes
P00023,SUP0042,Electronics,Televisions,TCL,TCL Televisions Plus,51610,43415.19,8194.81,2021-01-18,Yes
P00024,SUP0070,Grocery,Rice,India Gate,India Gate Rice Max,1382,1206.59,175.41,2023-11-10,Yes
P00025,SUP0023,Grocery,Beverages,Fanta,Fanta Beverages Elite,1766,1655.57,110.43,2021-08-09,Yes
P00026,SUP0025,Electronics,Televisions,Sony,Sony Televisions Elite,112088,92588.88,19499.12,2023-08-26,Yes
P00027,SUP0060,Electronics,Laptops,Dell,Dell Laptops Elite,1034,901.96,132.04,2023-08-08,Yes
P00028,SUP0063,Grocery,Beverages,Coca-Cola,Coca-Cola Beverages Standard,442,408.36,33.64,2021-09-21,Yes
P00029,SUP0060,Electronics,Laptops,Asus,Asus Laptops Premium,147998,129759.37,18238.63,2025-01-12,Yes
P00030,SUP0043,Grocery,Beverages,Fanta,Fanta Beverages Standard,815,759.78,55.22,2020-01-18,Yes
P00031,SUP0071,Fashion,Men's Wear,Allen Solly,Allen Solly Men's Wear Max,12723,8856.05,3866.95,2024-09-03,Yes
P00032,SUP0040,Fashion,Footwear,Nike,Nike Footwear Pro,12273,5186.83,7086.17,2020-03-13,Yes
P00033,SUP0045,Fashion,Women's Wear,H&M,H&M Women's Wear Plus,4907,3368.19,1538.81,2026-05-10,Yes
P00034,SUP0059,Fashion,Men's Wear,Louis Philippe,Louis Philippe Men's Wear Plus,7646,3196.72,4449.28,2018-12-18,Yes
P00035,SUP0006,Electronics,Laptops,Dell,Dell Laptops Premium,90611,81031.72,9579.28,2021-08-16,Yes
P00036,SUP0028,Grocery,Cooking Oil,Saffola,Saffola Cooking Oil Elite,1119,1013.73,105.27,2025-02-22,Yes
P00037,SUP0075,Fashion,Women's Wear,Zara,Zara Women's Wear Elite,6524,3925.19,2598.81,2021-04-02,Yes
P00038,SUP0012,Electronics,Laptops,Asus,Asus Laptops Premium,7966,6552.89,1413.11,2020-06-09,Yes
P00039,SUP0062,Electronics,Smartphones,Apple,Apple Smartphones Elite,146119,127229.19,18889.81,2020-02-29,Yes
P00040,SUP0060,Electronics,Televisions,Panasonic,Panasonic Televisions Premium,58984,48372.64,10611.36,2025-08-20,Yes
P00041,SUP0006,Electronics,Televisions,LG,LG Televisions Plus,152283,135748.45,16534.55,2022-03-25,Yes
P00042,SUP0075,Fashion,Men's Wear,Van Heusen,Van Heusen Men's Wear Plus,11904,8263.36,3640.64,2021-05-16,Yes
P00043,SUP0016,Fashion,Footwear,Bata,Bata Footwear Pro,6243,3648.91,2594.09,2025-09-26,Yes
P00044,SUP0018,Fashion,Women's Wear,Biba,Biba Women's Wear Premium,14030,7651.55,6378.45,2021-02-14,Yes
P00045,SUP0077,Electronics,Smartphones,Google,Google Smartphones Pro,58869,48300.48,10568.52,2021-05-15,Yes
P00046,SUP0017,Electronics,Laptops,Asus,Asus Laptops Premium,184787,162196.99,22590.01,2020-01-12,Yes
P00047,SUP0027,Electronics,Televisions,TCL,TCL Televisions Max,87742,72415.32,15326.68,2025-04-21,Yes
P00048,SUP0017,Electronics,Laptops,Lenovo,Lenovo Laptops Max,78130,69346.76,8783.24,2019-02-11,Yes
P00049,SUP0040,Fashion,Women's Wear,Global Desi,Global Desi Women's Wear Plus,2671,1856.13,814.87,2025-11-24,Yes
P00050,SUP0077,Electronics,Smartphones,Google,Google Smartphones Premium,108173,87637.28,20535.72,2024-10-02,Yes
P00051,SUP0061,Electronics,Smartphones,Samsung,Samsung Smartphones Pro,170206,143314.19,26891.81,2019-11-21,No
P00052,SUP0012,Electronics,Televisions,Sony,Sony Televisions Max,50617,43365.22,7251.78,2022-07-05,Yes
P00053,SUP0074,Grocery,Rice,Fortune,Fortune Rice Pro,904,793.8,110.2,2024-10-01,Yes
P00054,SUP0073,Electronics,Laptops,HP,HP Laptops Max,59594,51714.97,7879.03,2025-07-11,Yes
P00055,SUP0009,Electronics,Smartphones,Samsung,Samsung Smartphones Standard,143253,124880.83,18372.17,2022-09-12,Yes
P00056,SUP0013,Grocery,Cooking Oil,Fortune,Fortune Cooking Oil Pro,1533,1410.79,122.21,2026-01-04,Yes
P00057,SUP0066,Fashion,Footwear,Adidas,Adidas Footwear Standard,6130,3026.35,3103.65,2019-11-12,Yes
P00058,SUP0035,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Plus,1522,1332.51,189.49,2023-10-14,Yes
P00059,SUP0023,Grocery,Cooking Oil,Fortune,Fortune Cooking Oil Standard,1416,1273.47,142.53,2026-02-06,Yes
P00060,SUP0068,Grocery,Beverages,Pepsi,Pepsi Beverages Standard,708,656.82,51.18,2021-12-06,Yes
P00061,SUP0005,Fashion,Women's Wear,Zara,Zara Women's Wear Pro,5742,2812.85,2929.15,2024-01-10,Yes
P00062,SUP0056,Grocery,Rice,Daawat,Daawat Rice Elite,1693,1581.14,111.86,2023-08-16,Yes
P00063,SUP0037,Fashion,Footwear,Nike,Nike Footwear Pro,10671,4994.54,5676.46,2022-07-25,Yes
P00064,SUP0040,Fashion,Footwear,Nike,Nike Footwear Premium,14928,9668.49,5259.51,2019-04-28,Yes
P00065,SUP0009,Electronics,Laptops,HP,HP Laptops Pro,148549,132794.84,15754.16,2022-11-01,Yes
P00066,SUP0043,Grocery,Beverages,Fanta,Fanta Beverages Pro,1061,933.21,127.79,2024-08-22,Yes
P00067,SUP0073,Electronics,Smartphones,Google,Google Smartphones Max,157103,135713.39,21389.61,2020-10-21,Yes
P00068,SUP0037,Fashion,Women's Wear,Global Desi,Global Desi Women's Wear Standard,4664,1911.63,2752.37,2024-05-05,Yes
P00069,SUP0040,Fashion,Men's Wear,Levi's,Levi's Men's Wear Standard,9589,4688.19,4900.81,2020-12-14,Yes
P00070,SUP0016,Fashion,Women's Wear,H&M,H&M Women's Wear Pro,12192,6042.65,6149.35,2022-05-31,Yes
P00071,SUP0002,Fashion,Footwear,Nike,Nike Footwear Elite,11249,6112.91,5136.09,2023-04-19,Yes
P00072,SUP0011,Grocery,Rice,India Gate,India Gate Rice Standard,1183,1016.25,166.75,2022-11-03,Yes
P00073,SUP0062,Electronics,Televisions,Samsung,Samsung Televisions Premium,111617,98642.6,12974.4,2020-03-16,Yes
P00074,SUP0069,Fashion,Footwear,Adidas,Adidas Footwear Max,3260,1347.34,1912.66,2026-06-14,Yes
P00075,SUP0071,Fashion,Men's Wear,Louis Philippe,Louis Philippe Men's Wear Standard,9881,4490.26,5390.74,2020-02-19,Yes
P00076,SUP0050,Electronics,Laptops,Lenovo,Lenovo Laptops Plus,146885,129931.22,16953.78,2022-07-31,Yes
P00077,SUP0018,Fashion,Men's Wear,Levi's,Levi's Men's Wear Standard,11448,4663.61,6784.39,2020-12-16,Yes
P00078,SUP0011,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Standard,998,888.49,109.51,2023-03-21,Yes
P00079,SUP0003,Electronics,Televisions,Sony,Sony Televisions Max,195636,162346.7,33289.3,2025-04-11,Yes
P00080,SUP0015,Grocery,Rice,Daawat,Daawat Rice Standard,625,573.42,51.58,2023-04-18,Yes
P00081,SUP0005,Fashion,Footwear,Nike,Nike Footwear Standard,4851,2887.71,1963.29,2025-04-17,Yes
P00082,SUP0065,Grocery,Beverages,Pepsi,Pepsi Beverages Pro,1365,1248.59,116.41,2019-10-04,Yes
P00083,SUP0078,Electronics,Smartphones,Motorola,Motorola Smartphones Max,183850,157811.63,26038.37,2019-06-25,Yes
P00084,SUP0004,Electronics,Smartphones,OnePlus,OnePlus Smartphones Max,110096,95777.72,14318.28,2019-06-08,Yes
P00085,SUP0063,Grocery,Cooking Oil,Fortune,Fortune Cooking Oil Standard,327,279.29,47.71,2022-10-27,Yes
P00086,SUP0067,Fashion,Women's Wear,Biba,Biba Women's Wear Plus,11249,5270.76,5978.24,2020-12-18,Yes
P00087,SUP0015,Grocery,Beverages,Coca-Cola,Coca-Cola Beverages Pro,1102,1000.81,101.19,2019-03-14,Yes
P00088,SUP0039,Fashion,Women's Wear,H&M,H&M Women's Wear Max,629,279.94,349.06,2024-07-19,Yes
P00089,SUP0047,Electronics,Laptops,Asus,Asus Laptops Standard,91773,74942.51,16830.49,2024-02-07,Yes
P00090,SUP0042,Electronics,Televisions,Samsung,Samsung Televisions Plus,194412,158900.79,35511.21,2023-02-18,Yes
P00091,SUP0050,Electronics,Laptops,Lenovo,Lenovo Laptops Max,5016,4357.34,658.66,2019-11-20,Yes
P00092,SUP0007,Grocery,Rice,India Gate,India Gate Rice Pro,538,487.57,50.43,2021-10-01,Yes
P00093,SUP0025,Electronics,Laptops,Asus,Asus Laptops Standard,69360,57900.34,11459.66,2025-11-27,Yes
P00094,SUP0027,Electronics,Smartphones,Motorola,Motorola Smartphones Max,63397,53426.95,9970.05,2023-02-03,Yes
P00095,SUP0012,Electronics,Televisions,LG,LG Televisions Standard,37966,30928.99,7037.01,2025-09-28,Yes
P00096,SUP0060,Electronics,Laptops,Asus,Asus Laptops Premium,91995,81521.7,10473.3,2026-05-19,Yes
P00097,SUP0075,Fashion,Women's Wear,Global Desi,Global Desi Women's Wear Pro,10399,6881.32,3517.68,2019-06-18,Yes
P00098,SUP0077,Electronics,Televisions,Samsung,Samsung Televisions Plus,86511,76964.74,9546.26,2022-07-29,Yes
P00099,SUP0031,Grocery,Rice,Daawat,Daawat Rice Plus,126,119.53,6.47,2025-04-13,Yes
P00100,SUP0061,Electronics,Laptops,Asus,Asus Laptops Max,149173,127884.14,21288.86,2021-09-30,Yes
P00101,SUP0075,Fashion,Footwear,Nike,Nike Footwear Plus,2189,1196.45,992.55,2022-01-06,Yes
P00102,SUP0047,Electronics,Laptops,HP,HP Laptops Max,63030,56445.47,6584.53,2026-07-06,Yes
P00103,SUP0033,Fashion,Women's Wear,W,W Women's Wear Max,891,483.32,407.68,2023-09-20,Yes
P00104,SUP0027,Electronics,Televisions,Panasonic,Panasonic Televisions Premium,8009,6635.03,1373.97,2018-09-29,Yes
P00105,SUP0066,Fashion,Women's Wear,Biba,Biba Women's Wear Plus,3164,1893.51,1270.49,2024-12-12,Yes
P00106,SUP0015,Grocery,Cooking Oil,Saffola,Saffola Cooking Oil Standard,503,438.51,64.49,2018-12-26,Yes
P00107,SUP0066,Fashion,Women's Wear,W,W Women's Wear Plus,6134,3571.35,2562.65,2018-10-17,Yes
P00108,SUP0022,Fashion,Footwear,Adidas,Adidas Footwear Max,10631,5543.55,5087.45,2021-07-29,Yes
P00109,SUP0006,Electronics,Laptops,HP,HP Laptops Max,11689,9992.21,1696.79,2020-05-03,Yes
P00110,SUP0064,Fashion,Footwear,Nike,Nike Footwear Plus,13610,7319.02,6290.98,2025-10-13,Yes
P00111,SUP0021,Fashion,Women's Wear,W,W Women's Wear Standard,11918,7199.93,4718.07,2022-01-03,Yes
P00112,SUP0011,Grocery,Cooking Oil,Fortune,Fortune Cooking Oil Elite,1067,909.87,157.13,2019-04-26,Yes
P00113,SUP0064,Fashion,Women's Wear,H&M,H&M Women's Wear Premium,14587,6830.76,7756.24,2020-11-18,Yes
P00114,SUP0002,Fashion,Women's Wear,Global Desi,Global Desi Women's Wear Standard,5837,2760.34,3076.66,2023-10-09,Yes
P00115,SUP0030,Electronics,Laptops,Dell,Dell Laptops Standard,86839,71473.42,15365.58,2021-03-25,Yes
P00116,SUP0073,Electronics,Televisions,TCL,TCL Televisions Plus,41805,34229.41,7575.59,2020-02-14,Yes
P00117,SUP0029,Electronics,Laptops,Asus,Asus Laptops Max,61765,52547.12,9217.88,2021-12-31,Yes
P00118,SUP0075,Fashion,Women's Wear,Zara,Zara Women's Wear Premium,13085,5676.62,7408.38,2025-12-13,Yes
P00119,SUP0003,Electronics,Televisions,Samsung,Samsung Televisions Plus,162211,137997.64,24213.36,2021-10-28,Yes
P00120,SUP0072,Electronics,Televisions,Sony,Sony Televisions Premium,196723,158273.16,38449.84,2020-07-17,Yes
P00121,SUP0041,Fashion,Footwear,Skechers,Skechers Footwear Premium,2880,1312.81,1567.19,2021-06-26,Yes
P00122,SUP0019,Grocery,Beverages,Coca-Cola,Coca-Cola Beverages Max,131,119.41,11.59,2020-09-18,Yes
P00123,SUP0070,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Standard,1352,1156.55,195.45,2020-01-17,Yes
P00124,SUP0063,Grocery,Rice,India Gate,India Gate Rice Premium,936,829.76,106.24,2018-10-20,Yes
P00125,SUP0028,Grocery,Cooking Oil,Saffola,Saffola Cooking Oil Pro,95,80.82,14.18,2020-10-19,Yes
P00126,SUP0016,Fashion,Men's Wear,Levi's,Levi's Men's Wear Max,6453,4005.72,2447.28,2022-02-07,Yes
P00127,SUP0007,Grocery,Rice,Fortune,Fortune Rice Standard,354,325.77,28.23,2020-02-24,Yes
P00128,SUP0071,Fashion,Women's Wear,H&M,H&M Women's Wear Pro,3945,2456.44,1488.56,2022-09-30,Yes
P00129,SUP0076,Grocery,Rice,Daawat,Daawat Rice Premium,1608,1431.22,176.78,2020-10-06,Yes
P00130,SUP0020,Electronics,Smartphones,Samsung,Samsung Smartphones Elite,21090,17148.22,3941.78,2018-12-16,Yes
P00131,SUP0049,Fashion,Men's Wear,Louis Philippe,Louis Philippe Men's Wear Max,7278,3590.56,3687.44,2019-01-06,Yes
P00132,SUP0030,Electronics,Smartphones,Google,Google Smartphones Pro,156654,134091.62,22562.38,2021-02-27,Yes
P00133,SUP0073,Electronics,Laptops,Acer,Acer Laptops Plus,75357,66078.23,9278.77,2020-03-12,Yes
P00134,SUP0061,Electronics,Smartphones,Motorola,Motorola Smartphones Premium,15987,13644.99,2342.01,2019-07-19,Yes
P00135,SUP0064,Fashion,Footwear,Nike,Nike Footwear Plus,11566,5651.13,5914.87,2024-10-02,Yes
P00136,SUP0076,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Premium,306,275.33,30.67,2026-05-15,Yes
P00137,SUP0021,Fashion,Footwear,Bata,Bata Footwear Max,9023,4792.9,4230.1,2018-09-21,Yes
P00138,SUP0035,Grocery,Rice,Daawat,Daawat Rice Premium,1940,1699.07,240.93,2025-08-02,Yes
